Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,-45.14,-44.40,-41.04,-36.81,-36.13,-38.76,-36.82,-38.88,-40.82,-47.70
5.00,-45.37,-46.31,-41.37,-37.64,-35.05,-37.54,-42.28,-41.47,-42.42,-50.94
24.50,-46.96,-46.65,-42.38,-37.47,-37.02,-39.35,-46.62,-45.15,-46.01,-56.34
54.50,-45.25,-44.48,-40.57,-35.02,-34.67,-37.85,-50.60,-44.31,-45.58,-47.68
84.50,-37.60,-40.98,-36.40,-30.89,-29.96,-30.46,-45.49,-37.29,-38.89,-40.95
114.50,-30.64,-30.15,-26.69,-22.26,-25.63,-23.30,-40.55,-29.37,-31.81,-31.52
144.50,-31.63,-22.08,-19.50,-15.38,-17.79,-13.58,-32.13,-22.82,-25.73,-26.92
174.50,-25.63,-7.09,-4.78,-5.55,-6.70,-2.92,-19.59,-15.59,-16.79,-5.78
204.50,-14.79,2.25,3.91,-2.81,-0.23,3.13,-13.06,-11.37,-12.95,-0.43
234.50,-5.85,5.55,7.80,2.97,4.66,9.22,-6.19,-2.41,-7.93,3.23
264.50,-6.08,9.51,10.66,6.31,6.77,11.93,-5.11,-1.68,-8.60,4.17
294.50,-6.97,10.95,11.01,6.79,6.91,10.19,-5.56,-1.07,-9.60,3.94
324.50,-6.89,11.72,11.94,10.07,10.55,13.86,-4.06,-2.17,-8.56,4.76
354.50,-2.76,16.67,16.08,12.89,13.71,18.12,0.36,4.39,-2.97,-9.44
384.50,-0.35,19.28,18.15,14.91,15.47,19.90,2.74,7.68,1.11,-7.65
414.50,-0.54,16.44,13.86,15.02,13.66,19.64,2.11,5.98,-3.18,-10.96
444.50,-2.47,15.44,14.82,14.49,12.13,16.81,-0.48,5.05,-4.90,-12.58
474.50,-4.08,12.17,11.86,12.83,9.82,12.48,-3.85,-0.08,-8.39,-15.61
504.50,-9.38,10.00,9.31,6.22,5.32,8.62,-8.38,-3.14,-10.76,-20.60
534.00,-11.70,7.67,7.36,1.91,1.75,6.54,-10.30,-4.89,-10.42,-21.19
563.00,-10.76,7.16,5.09,2.36,2.87,7.22,-11.43,-7.53,-11.54,-20.78
593.50,-11.69,4.61,4.69,2.12,2.65,6.02,-12.55,-9.42,-12.48,-22.82
624.50,-15.76,4.05,4.91,0.95,2.88,6.60,-13.00,-10.52,-12.27,-23.75
654.50,-39.72,0.17,5.87,7.51,9.35,15.28,-2.21,3.60,-0.12,9.96
684.50,-61.64,-3.20,4.21,8.21,12.16,20.13,4.60,9.77,7.76,8.81
714.50,-63.31,-7.76,3.49,7.20,10.78,19.98,3.81,8.10,5.70,8.99
744.50,-64.33,-8.11,2.53,6.41,10.64,18.42,3.08,7.40,6.75,8.50
774.50,-60.66,-9.79,0.88,5.97,9.44,17.86,2.51,6.27,6.49,7.31
804.50,-67.97,-12.07,-2.33,3.07,6.54,13.43,-0.09,4.90,5.35,4.54
834.50,-71.73,-18.15,-8.61,-0.70,2.42,7.73,-6.37,0.76,-6.08,1.41
864.50,-74.42,-21.28,-12.80,-3.80,0.40,4.74,-9.61,-2.43,-8.31,-3.34
894.50,-73.74,-24.06,-15.28,-5.52,-3.10,2.00,-11.98,-5.16,-9.48,-5.49
924.50,-76.33,-25.44,-14.94,-6.34,-3.56,2.51,-13.63,-5.53,-9.68,-5.41
954.00,-78.96,-25.95,-15.27,-7.86,-3.01,2.70,-13.52,-5.90,-8.09,-9.71
981.50,-77.77,-26.34,-13.59,-7.77,-3.04,2.19,-13.77,-6.91,-7.15,-10.64
1011.00,-80.79,-29.84,-17.81,-11.73,-5.03,-1.24,-16.58,-10.28,-10.96,-14.15
1043.00,-85.39,-34.41,-22.46,-13.27,-9.76,-5.55,-20.33,-16.01,-15.26,-18.49
1073.50,-79.50,-34.44,-22.71,-13.34,-10.76,-6.15,-21.34,-16.13,-16.58,-20.07
1104.00,-82.49,-32.65,-20.86,-10.91,-8.34,-3.11,-19.00,-15.23,-15.19,-17.85
1134.50,-80.64,-28.88,-18.85,-7.57,-3.79,0.55,-15.39,-8.04,-7.89,-12.04
1163.50,-78.65,-25.55,-13.26,-6.93,-1.14,3.22,-13.81,-6.61,-6.48,-8.67
1192.50,-72.46,-21.05,-10.16,-4.77,3.02,8.98,-9.18,-1.35,-3.22,-3.73
1222.50,-70.60,-17.61,-9.57,-0.63,5.39,10.68,-5.50,2.31,-1.31,-2.78
1252.50,-72.50,-20.10,-10.41,-1.63,2.33,7.34,-7.64,-0.26,-6.41,-1.87
1283.00,-75.78,-22.32,-12.69,-3.72,-0.09,5.47,-10.78,-2.95,-8.84,-3.41
1313.50,-75.48,-22.05,-11.58,-5.41,-1.53,5.68,-12.20,-6.03,-8.72,-4.26
1343.50,-72.60,-23.65,-14.94,-5.68,-2.06,4.87,-10.22,-3.32,-6.23,-2.14
1373.50,-66.59,-22.45,-12.70,-3.36,-0.42,4.48,-3.31,3.74,-0.32,4.88
1404.00,-71.25,-18.30,-9.31,-0.33,2.61,6.04,2.14,6.61,4.64,8.05
1434.00,-69.79,-14.70,-4.22,3.29,6.39,8.44,7.37,7.36,5.80,9.61
1464.00,-65.34,-13.71,-6.46,5.02,7.22,9.04,7.13,7.80,5.38,9.61
1494.50,-66.64,-15.10,-3.32,3.90,5.58,7.64,6.96,7.39,6.44,8.91
