Argon, mass spectrometer


Lateral Position     H=7 mm                   H=9 mm                  H=11 mm
5.0                        1.111E-0002            1.016E-0002            9.778E-0003
5.2                        1.040E-0002            9.814E-0003            9.380E-0003
5.4                        1.013E-0002            9.713E-0003            8.976E-0003
5.6                        9.954E-0003            9.169E-0003            8.510E-0003
5.8                        9.296E-0003            9.433E-0003            8.016E-0003
6.0                        8.401E-0003            9.077E-0003            8.078E-0003
6.2                        8.195E-0003            8.558E-0003            7.317E-0003
6.4                        7.886E-0003            8.160E-0003            7.228E-0003
6.6                        7.757E-0003            8.047E-0003            7.188E-0003
6.8                        7.866E-0003            7.932E-0003            7.103E-0003
7.0                        7.609E-0003            8.196E-0003            7.179E-0003
7.2                        7.589E-0003            8.311E-0003            7.271E-0003
7.4                        7.480E-0003            7.958E-0003            6.773E-0003
7.6                        7.680E-0003            7.940E-0003            6.794E-0003
7.8                        7.820E-0003            8.046E-0003            6.439E-0003
8.0                        7.685E-0003            8.147E-0003            6.704E-0003
8.2                        7.238E-0003            8.111E-0003            6.717E-0003
8.4                        7.469E-0003            7.999E-0003            6.783E-0003
8.6                        7.813E-0003            8.034E-0003            6.605E-0003
8.8                        7.980E-0003            7.942E-0003            6.770E-0003
9.0                        8.290E-0003            8.018E-0003            6.707E-0003
9.2                        8.255E-0003            8.127E-0003            7.147E-0003
9.4                        8.560E-0003            7.971E-0003            7.472E-0003
9.6                        8.459E-0003            8.091E-0003            7.029E-0003
9.8                        8.942E-0003            7.576E-0003            6.396E-0003
10.0                        9.014E-0003            7.903E-0003            6.562E-0003
