s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
time,time10,HRR,HRR_burner,HF1,HF2,HF3,HF4,HF5,HF6,TCAmb
0,0,9.92,10.1,0.04,0.03,0,0.01,0.04,0.01,22.99
1,0.1,15.26,10.11,0.01,0.03,0,-0.02,0.02,0.01,22.97
2,0.2,5.39,10.21,0.01,0.02,0,-0.02,0,0,22.98
3,0.3,8.26,6.1,0,0.02,0.03,0,0,0,22.97
4,0.4,7.28,5.72,0.02,0.03,0.03,0.01,-0.01,0,22.95
5,0.5,3.17,5.75,0.01,0.03,0.03,0.01,0,0,22.92
6,0.6,-4.99,5.84,0.01,0.03,0.01,0.04,0.01,0.01,22.89
7,0.7,-3.39,5.6,0.01,0.03,0.01,0.04,0.01,0.02,22.88
8,0.8,4.11,4.81,0,0.03,0,0.02,0.03,0.01,22.87
9,0.9,10.24,1.67,-0.02,0.02,0,0.01,0.02,0.02,22.87
10,1,5.45,1.37,-0.02,0.02,0,0.02,0.02,0,22.86
11,1.1,6.48,1.18,0,0.02,0.01,0.02,0.03,0.01,22.86
12,1.2,11.26,1.35,-0.02,0.03,0.03,0.02,0.04,-0.01,22.86
13,1.3,0.4,0.83,0,0.03,0.03,0.02,0.04,-0.02,22.86
14,1.4,19.83,1.26,0,0.03,0.03,0.04,0.04,0,22.86
15,1.5,11.34,1.12,-0.02,0.03,0,0.02,0.04,0.02,22.84
16,1.6,2.17,1.11,-0.02,0.03,0,0.02,0.03,0.01,22.84
17,1.7,12.32,4.33,-0.02,0.02,-0.02,0.02,0.02,0,22.85
18,1.8,13.37,151.08,0,0.03,-0.02,0.05,0.03,0.02,22.86
19,1.9,14.4,535.05,0.19,0.13,0.06,0.1,0.06,0.04,22.87
20,2,27.01,195.21,0.35,0.18,0.13,0.11,0.09,0.07,22.89
21,2.1,44.02,186.49,0.43,0.22,0.16,0.1,0.11,0.09,22.94
22,2.2,84.93,268.93,0.47,0.23,0.16,0.11,0.12,0.07,23.02
23,2.3,127.17,210.34,0.47,0.23,0.16,0.14,0.12,0.09,23.08
24,2.4,171.55,256.39,0.47,0.25,0.19,0.15,0.12,0.07,23.14
25,2.5,202.56,228.09,0.48,0.26,0.19,0.17,0.12,0.09,23.17
26,2.6,217.43,250,0.48,0.26,0.19,0.14,0.12,0.13,23.16
27,2.7,228.6,237.37,0.48,0.26,0.19,0.15,0.12,0.1,23.15
28,2.8,235.06,242.58,0.51,0.25,0.19,0.15,0.11,0.1,23.14
