s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
time,time10,HRR,HRR_burner,HF1,HF2,HF3,HF4,HF5,HF6,TCAmb
0,0,-0.54,174.78,0.38,0.14,0.16,0.08,0.05,0.03,23.87
1,0.1,-1,169.27,0.47,0.2,0.19,0.1,0.07,0.05,23.89
2,0.2,-3.37,203.82,0.52,0.23,0.2,0.12,0.07,0.07,23.86
3,0.3,2.59,249.37,0.55,0.21,0.2,0.1,0.07,0.07,23.86
4,0.4,10.42,212.95,0.52,0.21,0.2,0.13,0.08,0.08,23.87
5,0.5,24.7,239.11,0.5,0.21,0.2,0.13,0.07,0.08,23.89
6,0.6,48.68,229.26,0.5,0.21,0.2,0.14,0.07,0.09,23.92
7,0.7,77.6,231.78,0.48,0.21,0.2,0.13,0.08,0.09,23.93
8,0.8,112.33,242.77,0.51,0.21,0.19,0.13,0.08,0.09,23.94
9,0.9,134.19,231.8,1.01,0.36,0.42,0.23,0.18,0.16,23.95
10,1,155.85,245.19,0.87,0.28,0.35,0.2,0.16,0.13,23.95
11,1.1,172.81,231.85,0.8,0.25,0.3,0.17,0.15,0.1,23.96
12,1.2,185.17,242.66,0.89,0.29,0.35,0.2,0.18,0.11,23.96
13,1.3,186.02,242.95,0.97,0.32,0.39,0.21,0.18,0.13,23.95
14,1.4,195.21,378.4,0.97,0.32,0.39,0.22,0.17,0.13,23.96
15,1.5,196.77,425.44,1.16,0.39,0.48,0.25,0.21,0.17,23.99
16,1.6,186.15,411.9,1.79,0.64,0.79,0.42,0.34,0.27,24.02
17,1.7,188.39,424.35,1.95,0.73,0.85,0.48,0.38,0.3,24.03
18,1.8,194.32,413.23,1.94,0.72,0.83,0.47,0.38,0.3,24.05
19,1.9,202.6,422.57,1.92,0.69,0.81,0.47,0.37,0.29,24.03
20,2,222.98,414.88,1.95,0.69,0.82,0.46,0.37,0.3,24.03
21,2.1,247.62,421.31,1.98,0.7,0.82,0.47,0.39,0.31,24.01
22,2.2,273.57,415.08,1.79,0.64,0.72,0.43,0.35,0.26,23.99
23,2.3,291.95,418.88,1.37,0.48,0.55,0.34,0.27,0.21,24
24,2.4,307.51,416.66,1.3,0.44,0.52,0.31,0.26,0.2,23.99
25,2.5,321.86,418.55,1.32,0.47,0.54,0.33,0.27,0.22,24.04
26,2.6,324.83,418.87,1.32,0.51,0.58,0.35,0.27,0.23,24.05
27,2.7,315.46,415.96,1.3,0.52,0.57,0.35,0.26,0.23,24.05
28,2.8,307.03,418.33,1.29,0.52,0.57,0.35,0.26,0.23,24.06
29,2.9,306.84,417.57,1.29,0.53,0.55,0.37,0.27,0.23,24.08
30,3,313,416.9,1.28,0.53,0.55,0.37,0.27,0.24,24.14
31,3.1,331.15,417.38,1.29,0.54,0.54,0.37,0.27,0.25,24.2
32,3.2,353.66,417.29,1.28,0.54,0.54,0.37,0.26,0.25,24.25
33,3.3,381.17,416.86,1.26,0.53,0.54,0.35,0.26,0.25,24.32
34,3.4,400.57,417.13,1.26,0.52,0.55,0.34,0.27,0.24,24.42
35,3.5,421.47,416.95,1.29,0.53,0.57,0.35,0.27,0.23,24.37
36,3.6,432.19,417.33,1.28,0.53,0.54,0.35,0.27,0.24,24.3
37,3.7,446.92,356.59,1.26,0.54,0.54,0.37,0.27,0.25,24.28
38,3.8,462.35,215.1,1.29,0.54,0.55,0.38,0.26,0.26,24.27
39,3.9,466.21,218.66,0.84,0.39,0.32,0.26,0.15,0.17,24.29
40,4,468.98,205.24,0.55,0.25,0.22,0.18,0.1,0.12,24.29
41,4.1,459.1,219.64,0.52,0.24,0.2,0.18,0.09,0.11,24.29
42,4.2,444.85,205.71,0.51,0.23,0.2,0.17,0.09,0.11,24.27
43,4.3,427.49,216.3,0.5,0.23,0.22,0.17,0.1,0.11,24.23
44,4.4,402.77,206.9,0.51,0.24,0.2,0.18,0.11,0.11,24.24
45,4.5,371.1,213.86,0.51,0.23,0.2,0.18,0.1,0.11,24.26
46,4.6,340.32,209.12,0.51,0.21,0.2,0.18,0.1,0.12,24.26
47,4.7,312.61,213.12,0.52,0.2,0.2,0.17,0.11,0.12,24.26
48,4.8,286.26,210.94,0.51,0.2,0.22,0.17,0.1,0.11,24.24
49,4.9,264.82,211.23,0.5,0.2,0.23,0.16,0.09,0.11,24.2
50,5,258.97,208.93,0.51,0.23,0.22,0.18,0.09,0.11,24.16
51,5.1,247.22,210.02,0.51,0.24,0.22,0.17,0.09,0.11,24.14
