Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.087E-01,  7.959E-04,  0.000E+00,  1.038E-03,   NaN,  2.090E-01,  7.688E-04,  0.000E+00,  7.584E-04,   NaN,   0.14,   0.23,  23.8,  24.0,  24.2,  21.9,  23.2,  21.9,  23.4,  10.0,  22.4,  26.6,  23.5,  10.0,  22.8,  18.5,  22.5,  22.1,  22.2,  22.5,  22.4,  21.8,  20.1,  22.0,  21.6,  21.9,  21.6,  21.9,  21.7,  21.7,  21.7,  21.6,  21.4,  0.03,  0.10, -0.01,  0.31,  0.09, -0.21, -0.18, -0.34, -0.25,   0.2,   NaN, 2.501667,  23.4,  2.094E-01,  7.118E-04,  0.000E+00,        NaN,   0.0,  8.441E-04,  7.242E-04
  30.,  1.957E-01,  9.525E-03,  3.000E-06,  2.822E-04,   NaN,  1.951E-01,  9.403E-03,  0.000E+00,  1.570E-04,   NaN,   2.71,   2.12,  23.8, 122.2, 123.0,  25.3, 114.7,  25.4, 120.1,  10.0,  32.7,  75.6,  23.5,  10.0, 131.8,  55.2,  89.5, 115.1, 141.7, 109.7, 128.6,  22.5,  23.9, 105.5,  30.7,  43.7,  24.5,  22.7,  27.0,  24.8,  24.5,  24.1,  23.5, -1.79, -1.47, -1.71, -0.57,  0.28,  0.23,  0.28,  0.12,  0.23,  18.7,   NaN, 2.537667,  25.3,  2.089E-01,  1.032E-03,  1.167E-06,        NaN,   6.1,  1.088E-02,  1.066E-02
  60.,  1.763E-01,  2.102E-02,  2.033E-05,  6.267E-05,   NaN,  1.782E-01,  1.911E-02,  0.000E+00,  8.283E-05,   NaN,   4.44,   3.41,  23.9, 226.2, 242.7,  30.3, 228.1,  31.4, 231.0,  10.0,  48.9, 130.3,  23.5,  10.0, 223.3,  86.3, 151.4, 228.1, 237.3, 202.0, 208.8,  23.5,  27.6, 184.4,  42.6,  66.7,  27.0,  24.2,  32.5,  27.9,  26.6,  26.3,  25.0, -2.44, -1.91, -2.34, -0.90,  0.33,  0.39,  0.42,  0.33,  0.41,  36.3,   NaN, 2.499667,  28.5,  2.084E-01,  1.347E-03,  2.667E-06,        NaN,  11.7,  2.404E-02,  2.176E-02
  90.,  1.559E-01,  3.254E-02,  6.767E-05,  6.033E-05,   NaN,  1.628E-01,  2.786E-02,  0.000E+00,  6.183E-05,   NaN,   6.28,   5.57,  23.9, 313.0, 331.3,  34.5, 318.7,  33.8, 345.9,  10.0,  71.3, 175.4,  23.5,  10.0, 289.1, 113.1, 187.4, 299.3, 296.1, 278.0, 277.8,  24.7,  33.0, 241.7,  59.3,  96.0,  30.5,  26.2,  40.5,  35.1,  30.8,  30.2,  28.5, -2.81, -2.17, -2.69, -1.10,  0.33,  0.50,  0.48,  0.39,  0.45,  49.7,   NaN, 2.274667,  31.0,  2.079E-01,  1.617E-03,  3.500E-06,        NaN,  16.0,  3.727E-02,  3.179E-02
 120.,  1.567E-01,  3.123E-02,  6.467E-05,  6.433E-05,   NaN,  1.617E-01,  2.837E-02,  0.000E+00,  7.667E-05,   NaN,   5.88,   4.57,  24.0, 313.3, 317.1,  38.7, 322.6,  39.1, 340.9,  10.0,  77.8, 169.2,  23.5,  10.0, 242.2, 104.2, 146.9, 295.1, 271.7, 280.6, 262.1,  25.4,  33.9, 225.3,  67.1,  94.5,  30.8,  27.2,  41.6,  37.9,  31.0,  29.6,  27.8, -2.58, -2.07, -2.46, -1.03,  0.34,  0.52,  0.50,  0.45,  0.48,  45.1,   NaN, 2.312333,  31.7,  2.081E-01,  1.522E-03,  3.333E-06,        NaN,  14.3,  3.577E-02,  3.239E-02
 150.,  1.401E-01,  4.327E-02,  1.682E-04,  1.642E-04,   NaN,  1.525E-01,  3.408E-02,  1.533E-05,  8.538E-04,   NaN,   9.61,   7.75,  24.0, 385.6, 374.8,  44.3, 401.2,  45.1, 433.0,  10.0,  97.6, 207.1,  23.5,  10.0, 304.2, 135.8, 219.7, 342.4, 341.9, 334.8, 329.0,  26.3,  38.8, 268.1,  73.3, 108.1,  34.9,  28.6,  49.6,  38.7,  34.3,  33.6,  32.1, -3.02, -2.38, -2.94, -1.24,  0.35,  0.54,  0.52,  0.49,  0.54,  66.4,   NaN, 2.256167,  33.9,  2.074E-01,  1.944E-03,  4.833E-06,        NaN,  20.2,  4.964E-02,  3.895E-02
 180.,  1.193E-01,  5.520E-02,  5.257E-04,  3.037E-04,   NaN,  1.377E-01,  4.267E-02,  1.018E-04,  2.118E-04,   NaN,  12.03,  11.15,  23.9, 430.5, 472.3,  55.7, 458.9,  60.8, 522.9,  10.0, 125.8, 264.2,  23.6,  10.0, 346.8, 160.0, 233.0, 412.5, 405.1, 407.0, 393.5,  28.4,  46.8, 319.2, 131.4, 174.6,  41.8,  32.0,  62.5,  45.3,  38.0,  36.5,  31.7, -3.36, -2.65, -3.15, -1.39,  0.37,  0.59,  0.59,  0.58,  0.67,  90.9,   NaN, 2.350500,  37.6,  2.068E-01,  2.427E-03,  1.267E-05,        NaN,  27.4,  6.369E-02,  4.888E-02
 210.,  1.151E-01,  5.563E-02,  7.602E-04,  2.410E-04,   NaN,  1.346E-01,  4.452E-02,  2.568E-04,  1.563E-04,   NaN,  12.95,  10.96,  24.0, 445.6, 471.0,  61.2, 480.7,  68.3, 544.6,  10.0, 142.7, 282.8,  23.7,  10.0, 357.2, 157.1, 237.7, 416.7, 392.5, 409.9, 383.9,  29.6,  49.4, 313.3, 127.4, 162.9,  45.7,  33.7,  66.9,  46.9,  38.8,  37.7,  33.2, -3.36, -2.62, -3.16, -1.42,  0.36,  0.64,  0.61,  0.62,  0.66,  87.3,   NaN, 2.322333,  39.0,  2.068E-01,  2.414E-03,  2.017E-05,        NaN,  25.9,  6.445E-02,  5.117E-02
 240.,  1.227E-01,  5.243E-02,  6.830E-04,  2.253E-04,   NaN,  1.374E-01,  4.310E-02,  2.380E-04,  1.613E-04,   NaN,  12.07,  11.64,  24.0, 438.7, 473.2,  66.0, 472.9,  76.9, 528.3,  10.0, 151.5, 293.6,  24.0,  10.0, 355.6, 157.2, 227.3, 415.0, 393.1, 404.4, 382.3,  30.5,  50.9, 315.1, 140.4, 178.7,  47.0,  34.8,  69.1,  49.7,  39.8,  37.8,  31.3, -3.37, -2.61, -3.08, -1.43,  0.34,  0.63,  0.65,  0.63,  0.72,  83.3,   NaN, 2.329833,  39.6,  2.070E-01,  2.321E-03,  1.750E-05,        NaN,  24.3,  6.070E-02,  4.953E-02
