Time,O2Rear,CO2Rear,CORear,THCRear,SootRear,O2Front,CO2Front,COFront,THCFront,SootFront,HFR,HFF,TambCal,TRSampA,TFSampA,TR24A,TR80A,TF24A,TF80A,TFloorR,TFloorF,TCeilF,TWallUR,TUFloor,TD79LBB,TD79CBB,TD79RBB,TD70LA,TD70LBB,TD70CA,TD70CBB,TD30LA,TD30LBB,TD60CBB,TD50CA,TD50CBB,TD40CBB,TD30CA,TD30CBB,TD20LBB,TD20CBB,TD20RBB,TD5CBB,VD79L,VD79C,VD79R,VD60C,VD40C,VD20L,VD20C,VD20R,VD5C,HRRcal,HRRburner,StackMFR,Tstack,O2stack,CO2stack,Costack,THCstack,Msstack,H2ORear,H2OFront
s,mol/mol,mol/mol,mol/mol,mol/mol,g/g,mol/mol,mol/mol,mol/mol,mol/mol,g/g,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW,kg/s,C,mol/mol,mol/mol,mol/mol,mol/mol,mg/m3,mol/mol,mol/mol
   0.,  2.088E-01,  7.071E-04,  9.952E-06,  3.586E-05,   NaN,  2.088E-01,  6.567E-04,  0.000E+00,  4.800E-05,   NaN,   0.24,   0.33,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  33.2,  33.4,  38.1,  29.6,  39.1,  34.2,  34.8,  34.3,   NaN,  32.7,   NaN,  32.4,   NaN,  28.1,  30.6,   NaN,  29.2,  28.3,   NaN,  28.4,  28.0,  27.2,  27.0,  27.6, -0.49, -0.48, -0.52,  0.25, -0.26,  0.09,  0.19,  0.25,  0.06,   0.8,  13.8, 2.293476,  28.1,  2.096E-01,  5.351E-04,  0.000E+00,  2.000E-06,   0.0,  8.181E-04,  7.141E-04
  30.,  1.943E-01,  1.058E-02,  4.533E-05,  4.545E-04,   NaN,  1.985E-01,  9.174E-03,  1.033E-05,  8.433E-05,   NaN,   4.94,   4.25,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,  68.6,  66.9, 264.9,  29.6,  38.6,  99.4, 124.2,  97.9,   NaN, 231.4,   NaN, 204.2,   NaN,  41.5, 168.3,   NaN, 145.2,  42.1,   NaN,  45.1,  33.7,  32.5,  30.3,  32.1, -1.09, -0.93, -1.00, -1.03, -0.37,  0.50,  0.51,  0.57,  0.57,  37.9,  63.5, 2.327500,  32.5,  2.086E-01,  1.177E-03,  2.167E-06,  2.500E-06,   5.0,  1.214E-02,  1.050E-02
  60.,  1.651E-01,  2.691E-02,  8.583E-05,  7.200E-05,   NaN,  1.706E-01,  2.534E-02,  3.433E-05,  7.767E-05,   NaN,  11.47,   9.57,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 139.2, 132.0, 424.2,  29.6,  38.4, 161.3, 199.4, 148.7,   NaN, 382.7,   NaN, 346.4,   NaN,  63.3, 284.8,   NaN, 243.4,  67.0,   NaN,  79.5,  45.7,  40.0,  35.3,  41.0, -1.66, -1.03, -1.25, -1.42, -0.35,  0.64,  0.65,  0.68,  0.76,  70.0,  78.7, 2.242833,  39.3,  2.076E-01,  1.887E-03,  3.833E-06,  2.000E-06,  16.4,  3.085E-02,  2.900E-02
  90.,  1.410E-01,  4.088E-02,  1.340E-04,  5.983E-05,   NaN,  1.478E-01,  3.747E-02,  7.800E-05,  6.833E-05,   NaN,  17.05,  16.48,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 209.4, 223.5, 541.7,  30.0,  37.7, 235.3, 253.0, 203.4,   NaN, 472.2,   NaN, 443.5,   NaN,  97.5, 359.3,   NaN, 313.0, 111.0,   NaN, 122.5,  61.1,  49.2,  41.5,  52.1, -2.09, -1.18, -1.82, -1.67, -0.31,  0.72,  0.72,  0.76,  0.86,  96.5,  76.3, 2.229500,  45.6,  2.068E-01,  2.439E-03,  6.167E-06,  2.000E-06,  30.9,  4.687E-02,  4.292E-02
 120.,  1.279E-01,  4.807E-02,  1.493E-04,  4.950E-05,   NaN,  1.383E-01,  4.212E-02,  9.483E-05,  6.183E-05,   NaN,  18.43,  16.64,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 246.9, 250.7, 532.2,  30.9,  36.3, 278.0, 270.9, 197.1,   NaN, 458.4,   NaN, 435.1,   NaN, 111.3, 364.4,   NaN, 306.1, 120.5,   NaN, 139.5,  70.7,  50.2,  43.2,  55.9, -2.39, -1.18, -1.66, -1.70, -0.31,  0.76,  0.74,  0.80,  0.91,  90.1,  76.3, 2.216500,  47.8,  2.069E-01,  2.373E-03,  6.000E-06,  2.000E-06,  28.5,  5.510E-02,  4.824E-02
 150.,  1.226E-01,  5.105E-02,  1.750E-04,  5.017E-05,   NaN,  1.349E-01,  4.355E-02,  1.048E-04,  6.133E-05,   NaN,  21.13,  17.21,  25.8,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 270.8, 266.5, 546.3,  32.2,  35.5, 333.6, 294.3, 201.1,   NaN, 470.3,   NaN, 448.0,   NaN, 121.1, 373.1,   NaN, 295.2, 134.2,   NaN, 153.3,  85.2,  52.6,  44.4,  62.0, -2.84, -1.43, -1.56, -1.73, -0.30,  0.80,  0.75,  0.79,  0.92,  91.9,  75.3, 2.230833,  49.1,  2.069E-01,  2.405E-03,  5.500E-06,  2.000E-06,  28.8,  5.854E-02,  4.989E-02
 180.,  1.204E-01,  5.242E-02,  1.688E-04,  5.050E-05,   NaN,  1.346E-01,  4.399E-02,  1.057E-04,  6.200E-05,   NaN,  22.97,  18.72,  25.9,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 287.3, 282.0, 549.6,  33.6,  35.7, 296.8, 302.8, 193.9,   NaN, 484.2,   NaN, 457.5,   NaN, 129.2, 383.3,   NaN, 306.9, 146.2,   NaN, 151.6,  90.5,  53.6,  45.6,  64.8, -2.34, -1.35, -1.57, -1.75, -0.33,  0.79,  0.76,  0.82,  0.96,  91.7,  79.0, 2.260500,  49.4,  2.069E-01,  2.392E-03,  5.833E-06,  2.000E-06,  29.0,  6.010E-02,  5.039E-02
 210.,  1.194E-01,  5.293E-02,  1.650E-04,  4.267E-05,   NaN,  1.321E-01,  4.539E-02,  9.950E-05,  6.233E-05,   NaN,  24.04,  19.51,  25.9,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 292.5, 294.8, 568.8,  35.3,  35.9, 313.5, 305.1, 207.0,   NaN, 492.2,   NaN, 465.6,   NaN, 142.6, 390.6,   NaN, 310.5, 159.3,   NaN, 159.3,  90.1,  55.1,  47.1,  68.9, -2.53, -1.42, -1.90, -1.78, -0.33,  0.81,  0.77,  0.83,  0.96,  89.0,  81.7, 2.166500,  50.1,  2.069E-01,  2.440E-03,  5.333E-06,  2.000E-06,  30.5,  6.068E-02,  5.199E-02
 240.,  1.210E-01,  5.184E-02,  1.663E-04,  4.117E-05,   NaN,  1.296E-01,  4.680E-02,  1.237E-04,  7.150E-05,   NaN,  25.72,  20.38,  25.9,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN, 317.4, 303.5, 568.6,  37.2,  35.3, 334.8, 324.3, 214.3,   NaN, 494.3,   NaN, 471.3,   NaN, 144.7, 396.3,   NaN, 312.7, 169.5,   NaN, 156.0, 100.5,  56.2,  48.0,  72.2, -2.72, -1.57, -1.94, -1.80, -0.35,  0.82,  0.76,  0.83,  0.99,  85.8,  75.7, 2.122000,  50.7,  2.069E-01,  2.427E-03,  5.833E-06,  2.000E-06,  29.8,  5.943E-02,  5.363E-02
