Time (s),Line 2,Line 6,Line 10
0,20.36295074,21.53584585,20.41973908
60,32.29073769,35.57177671,35.38377765
120,44.21852463,49.60770757,50.34781622
180,56.14631157,63.64363842,65.31185479
240,68.07409852,92.57630611,106.8121212
300,147.4018692,148.8329654,196.5454545
360,302.80217,245.9782946,275.5759178
420,353.276,302.7742027,349.5164902
480,431.344,316.6239774,367.6564972
540,469.2030791,325.7365303,378.3028249
600,470.4680851,334.8490832,388.7353855
660,485.741844,341.9513294,399.0746117
720,501.0156028,348.8560525,409.4138379
780,516.2080794,355.7607757,419.7581921
840,530.7078668,362.6654989,430.4045198
900,545.2076541,369.5702221,441.0508475
960,559.7074415,376.4749453,451.6971751
1020,574.2072289,384.7054299,462.3435028
1080,588.7070163,396.5819005,472.9898305
1140,603.2068037,408.458371,483.6361582
1200,617.7065911,420.3348416,494.2824859
1260,622.8490048,429.2154821,504.0176047
1320,625.2640314,436.035468,513.2833404
1380,627.679058,442.8554539,522.549076
1440,631.0305508,449.6754398,531.8148117
1500,647.2345258,456.4954258,541.0805473
1560,663.4385009,463.3154117,550.346283
1620,679.6424759,470.1353976,559.6120186
1680,710.053125,483.7101449,575.1071908
1740,761.0539063,516.4217765,605.5631831
1800,766.3759398,540.8484848,628.3425464
1860,712.7177641,524.5333333,598.0926144
1920,730.0608243,519.7492621,605.2120597
1980,741.3393723,524.8262452,611.7724258
2040,735.1361144,526.1186637,609.8931937
2100,728.9328566,527.4110822,608.0139616
2160,722.7295987,528.7035007,608.0567971
2220,716.5263409,529.9959192,618.2644615
2280,709.7225323,531.2883377,628.4721259
2340,681.1349217,537.6658923,638.6797902
2400,653.0834753,544.8673002,648.8874546
2460,625.5672913,552.0687082,658.8497948
2520,598.0511073,582.5295172,635.280985
2580,575.1449541,618.6407632,611.7121751
2640,557.8568807,606.1634631,588.1433653
2700,540.5688073,577.4331609,591.2574136
2760,523.2807339,548.7028587,595.2252676
2820,505.9926606,519.9725565,599.1931216
2880,501.851046,518.2175905,603.1609756
2940,498.8474198,518.4058752,607.1288296
3000,495.8437936,518.5941598,610.8582834
3060,492.8401674,518.7824445,609.7836327
3120,489.8365411,518.9707291,608.708982
3180,486.8329149,519.1590138,607.6343313
3240,483.8292887,517.2998255,606.5596806
3300,480.8256625,515.4205934,605.4850299
3360,477.8220363,513.5413613,602.9672379
3420,477.2704567,511.6621291,600.1776006
3480,476.7686859,509.782897,597.3879633
3540,476.2669152,507.9816985,594.598326
3600,475.7651445,508.2475313,591.8086887
3660,475.2633737,508.5133641,590.0141939
3720,474.761603,508.7791968,588.8107293
3780,474.2598322,509.0450296,587.6072646
3840,473.7580615,509.3108624,586.4037999
3900,473.2562908,509.5766952,585.6100629
3960,472.75452,509.842528,584.8575821
4020,472.2527493,510.1083608,584.1051013
4080,472.856491,510.3741935,583.3526205
4140,473.6854363,510.6400263,583.9506657
4200,474.5143817,510.9058591,586.2144359
4260,475.343327,511.1716919,588.478206
4320,476.1722724,511.7813702,590.134951
4380,477.0012177,512.8869143,591.1398973
4440,477.8301631,513.9924585,592.1448437
4500,478.6591084,515.0980026,593.14979
4560,479.4880537,516.2035468,594.1547364
4620,480.3169991,517.3090909,595.1596827
4680,481.1459444,518.4146351,596.164629
4740,481.9748898,519.5201792,598.3190856
4800,482.8038351,520.6257234,600.7573862
4860,483.6327805,521.7312675,603.1956869
4920,484.4617258,522.8368116,605.6339875
4980,485.9585434,524.2629292,608.0722881
5040,487.4666667,526.5266994,610.5105887
5100,488.9747899,528.7904695,612.9488894
5160,490.4829132,531.0542397,615.38719
5220,491.9910364,533.3180098,617.8254906
5280,493.4991597,535.58178,620.3601683
5340,495.0072829,537.8455501,623.3806452
5400,496.5154062,540.1093203,626.401122
5460,498.0235294,542.1284526,629.4215989
5520,499.5316527,544.1087311,632.4420757
5580,501.0397759,546.0890095,635.4625526
5640,502.5478992,548.069288,638.4830295
5700,504.0560224,550.0495665,641.5035063
5760,505.5641457,552.029845,644.5239832
5820,507.0722689,554.0101235,647.54446
5880,508.5803922,555.990402,652.0399847
5940,510.0885154,557.9706804,657.8210917
6000,511.5966387,559.9509589,663.6021986
6060,513.1047619,561.9312374,669.3833056
6120,514.6128852,563.9115159,675.1644126
6180,516.1210084,566.8216769,680.9455196
6240,517.6291317,569.7339878,686.7266266
6300,519.1372549,572.6462987,692.5077336
6360,521.1345182,575.5586096,698.2888406
6420,524.6600561,578.4709206,704.0699476
6480,528.185594,581.3832315,709.8510546
6540,531.7111319,584.2955424,715.6321616
6600,535.2366698,587.2078534,721.4132686
6660,538.7622077,590.1201643,727.1943756
6720,542.2877456,593.0324752,732.9754826
6780,545.8132834,597.1374484,738.7565895
6840,549.3388213,601.9593643,744.438749
6900,552.8643592,606.7812802,749.862481
6960,556.3898971,611.6031961,755.286213
7020,559.915435,616.425112,760.7099449
7080,563.4409729,621.2470278,766.1336769
7140,566.9665108,626.0689437,771.5574089
7200,571.9707701,630.8908596,776.9811409
7260,577.115683,635.7127755,782.4048729
7320,582.2605958,640.5346914,787.8286049
7380,586.3750962,645.3566073,785.9096061
7440,586.7517314,650.1785231,773.2588804
7500,587.1283666,650,773.3893557
7560,588.3662322,648.4960894,774.897479
7620,592.2528173,650.3662921,774.3664804
7680,596.1394024,654.9033708,772.8625698
7740,600.0259876,659.4404494,771.3586592
7800,603.9125727,663.9775281,769.8547486
7860,607.587686,668.0375525,764.2604134
7920,608.1428193,668.5854726,758.4826709
7980,608.6979526,669.1333927,752.7049285
8040,609.2530859,669.6813128,746.927186
8100,609.8082192,670.2292329,741.1494436
8160,610.3633525,670.777153,738.3937624
8220,610.9184858,671.3250731,736.7647155
8280,611.4736191,671.8729933,735.1356686
8340,612.0287524,672.4209134,733.5066217
8400,612.5838857,672.9851321,731.8775748
8460,613.139019,673.5501837,730.2485279
8520,613.6941523,674.1152353,728.619481
8580,614.2492856,674.6802869,726.9904341
8640,614.8044189,675.2453385,725.3613872
8700,615.3595522,675.7981955,722.513457
8760,614.9739165,675.2508324,719.3600892
8820,614.5437987,674.7034693,716.2067215
8880,614.1136808,674.1561062,713.0533538
8940,613.683563,673.6087432,709.8999861
9000,613.2534452,673.0613801,706.7466183
9060,614.2181281,672.514017,703.5932506
9120,615.6423559,671.966654,701.5384615
9180,617.0665837,671.4192909,701.5384615
9240,618.4908115,673.0073797,701.5384615
9300,619.9150393,675.0191499,701.5384615
9360,621.3392671,677.0309201,701.5384615
9420,622.7634949,679.0426903,701.5384615
9480,624.1877227,681.0544605,701.5384615
9540,625.6119505,683.0662307,700.882612
9600,627.0361783,685.0780009,699.8917593
9660,628.4604061,687.0897711,698.9009066
9720,629.8846339,689.1015413,697.9100538
9780,631.3088617,688.5572193,696.9192011
9840,632.0329064,687.8374332,695.9283484
9900,631.6929461,687.1176471,694.9374957
9960,631.3529857,686.397861,693.946643
10020,631.0130254,685.6780749,692.9557903
10080,630.6730651,684.9582888,691.9649376
10140,630.3331048,684.2385027,690.9740849
10200,629.9931445,683.5187166,689.9832322
10260,629.6531842,682.7989305,688.9923795
10320,629.3132239,682.0791444,688.0015268
10380,628.9732636,681.3593583,687.0106741
10440,628.6333033,680.6395722,686.0198214
10500,628.293343,679.9197861,685.0289687
10560,627.9533826,679.2,684.038116
10620,627.6134223,678.4802139,683.0472633
10680,627.273462,677.7604278,682.0564106
10740,626.9335017,677.0406417,681.0655579
10800,626.5935414,676.4387097,680.0747052
